"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019646","aerobic electron transport chain","12/215","81/13425",0.148148148148148,9.25064599483204,9.50158896772906,5.6094107321294e-09,1.25253919925757e-05,1.1501383236563e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",12
"GO:0042773","ATP synthesis coupled electron transport","12/215","87/13425",0.137931034482759,8.61267040898156,9.08782781686855,1.29305492008696e-08,1.25253919925757e-05,1.1501383236563e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",12
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","12/215","87/13425",0.137931034482759,8.61267040898156,9.08782781686855,1.29305492008696e-08,1.25253919925757e-05,1.1501383236563e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",12
"GO:1902600","proton transmembrane transport","15/215","160/13425",0.09375,5.85392441860465,7.87967248526562,4.15123844244623e-08,3.01587472843719e-05,2.76931301357926e-05,"SLC18A2/IL13/MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/ATP6V1E1/MT-ND5/MT-ND4L/MT-ND6",15
"GO:0022904","respiratory electron transport chain","12/215","101/13425",0.118811881188119,7.41883490674649,8.26053876304205,7.13932774381564e-08,4.14937728470565e-05,3.81014649064687e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",12
"GO:0006119","oxidative phosphorylation","13/215","127/13425",0.102362204724409,6.39168650430324,7.78829013117405,1.2103585105587e-07,5.86216971947266e-05,5.38291021801108e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",13
"GO:0022900","electron transport chain","12/215","110/13425",0.109090909090909,6.81183932346723,7.80815002430528,1.85654749865421e-07,7.70732433012733e-05,7.07721490088484e-05,"MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-CO1/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",12
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","9/215","64/13425",0.140625,8.78088662790698,7.95991417845876,7.52470074891149e-07,0.000242233187937532,0.00022242950390178,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",9
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","11/215","103/13425",0.106796116504854,6.66854820501242,7.36740483544698,7.55895434672734e-07,0.000242233187937532,0.00022242950390178,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0009145","purine nucleoside triphosphate biosynthetic process","11/215","104/13425",0.105769230769231,6.60442754919499,7.31961616551824,8.335622434189e-07,0.000242233187937532,0.00022242950390178,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0009201","ribonucleoside triphosphate biosynthetic process","11/215","109/13425",0.100917431192661,6.30147215703008,7.08976162649445,1.33715315877598e-06,0.000353251552672999,0.00032437160358824,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0015986","proton motive force-driven ATP synthesis","9/215","70/13425",0.128571428571429,8.02823920265781,7.52111797141104,1.63519119258617e-06,0.000395988800471284,0.000363614883614556,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/SDHA/MT-ND5/MT-ND4L/MT-ND6",9
"GO:0006754","ATP biosynthetic process","10/215","93/13425",0.10752688172043,6.71417854463616,7.0543405393796,2.28410257785603e-06,0.000510584776249971,0.000468842108086237,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6",10
"GO:0009142","nucleoside triphosphate biosynthetic process","11/215","117/13425",0.094017094017094,5.8706022659511,6.75037646897144,2.70364423793438e-06,0.000561199296816951,0.000515318657380726,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0072522","purine-containing compound biosynthetic process","15/215","243/13425",0.0617283950617284,3.85443583118002,5.72850848082227,8.61069166514434e-06,0.00166817799859396,0.00153179672779936,"NAMPT/PDK4/MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7/TECR/ACSS1",15
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","7/215","48/13425",0.145833333333333,9.10610465116279,7.17731908555777,1.03313091310424e-05,0.00187642402092558,0.00172301767415741,"MT-ND3/MT-ND1/MT-ND2/MT-ND4/MT-ND5/MT-ND4L/MT-ND6",7
"GO:0033138","positive regulation of peptidyl-serine phosphorylation","5/215","20/13425",0.25,15.6104651162791,8.34169724141743,1.28153261151018e-05,0.00219066692296975,0.00201156976481629,"LIF/IL11/IL6/OSM/ARAF",5
"GO:0009152","purine ribonucleotide biosynthetic process","11/215","144/13425",0.0763888888888889,4.76986434108527,5.80230258255693,1.99817049838436e-05,0.00322593526016942,0.00296220012479787,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0009060","aerobic respiration","15/215","263/13425",0.0570342205323194,3.56132284021576,5.35167887841381,2.20186207862315e-05,0.00329166956960518,0.00302256035025505,"PDK4/MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6",15
"GO:1901293","nucleoside phosphate biosynthetic process","16/215","296/13425",0.0540540540540541,3.3752357008171,5.27163747371414,2.2654298483174e-05,0.00329166956960518,0.00302256035025505,"NAMPT/PDK4/GFPT2/MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7/TECR/ACSS1",16
"GO:0006164","purine nucleotide biosynthetic process","12/215","180/13425",0.0666666666666667,4.16279069767442,5.44991234082578,3.28532896898569e-05,0.00454626951612971,0.00417459094555324,"NAMPT/MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",12
"GO:0009260","ribonucleotide biosynthetic process","11/215","159/13425",0.0691823899371069,4.31987713909609,5.37228903756026,5.00696567926363e-05,0.00661374648360914,0.00607304210379584,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0046390","ribose phosphate biosynthetic process","11/215","164/13425",0.0670731707317073,4.18817356778219,5.24064252072914,6.6376417659075e-05,0.008386516074664,0.0077008795773801,"MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",11
"GO:0033135","regulation of peptidyl-serine phosphorylation","5/215","28/13425",0.178571428571429,11.1503322259136,6.85905502764772,7.31849243082084e-05,0.00886147458498557,0.00813700803163633,"LIF/IL11/IL6/OSM/ARAF",5
"GO:0021782","glial cell development","9/215","113/13425",0.079646017699115,4.97324552377032,5.41092809817294,8.28796913313239e-05,0.00963393532035309,0.00884631652736447,"IL6/GRN/AGER/KCNJ10/C1QA/LAMC3/MAL/OLIG1/NKX6-2",9
"GO:0045333","cellular respiration","15/215","298/13425",0.0503355704697987,3.1430466677072,4.77271839917039,9.20073874375432e-05,0.0102835949189808,0.00944286344753732,"PDK4/MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6",15
"GO:0015980","energy derivation by oxidation of organic compounds","17/215","374/13425",0.0454545454545455,2.83826638477801,4.59971734369854,0.000110274290177774,0.0118687810095041,0.0108984532397917,"PDK4/PER2/GFPT2/MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6",17
"GO:0150076","neuroinflammatory response","7/215","71/13425",0.0985915492957746,6.15623976416639,5.55731974586757,0.000136681001313637,0.0141855353506224,0.0130258021928597,"IL13/IL6/PTGS2/GRN/POMGNT1/AGER/C1QA",7
"GO:0014002","astrocyte development","5/215","32/13425",0.15625,9.75654069767442,6.32670257238447,0.00014234621938528,0.0142640728804697,0.0130979189162136,"IL6/GRN/AGER/C1QA/LAMC3",5
"GO:0009165","nucleotide biosynthetic process","12/215","211/13425",0.0568720379146919,3.551195855836,4.76515103054825,0.000151639508948162,0.0146888137667786,0.0134879352695997,"NAMPT/MT-ND3/MT-ND1/MT-ATP6/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6/NME7",12
"GO:0048143","astrocyte activation","4/215","18/13425",0.222222222222222,13.8759689922481,6.97363420100906,0.000164100076492655,0.0153830587834727,0.0141254225435952,"IL6/GRN/AGER/C1QA",4
"GO:0048771","tissue remodeling","10/215","153/13425",0.065359477124183,4.0811673506612,4.88991836735255,0.000176283111094075,0.0159155799735155,0.014614407662137,"JAG1/LIF/PDK4/IL6/BGN/CLDN18/LIPA/AGER/CST3/TIMP1",10
"GO:0002274","myeloid leukocyte activation","12/215","215/13425",0.0558139534883721,3.48512709572742,4.6862474661428,0.000180734390614594,0.0159155799735155,0.014614407662137,"SLC18A2/CXCL8/IL13/IRF4/IL6/CXCL6/GRN/NR1H3/AGER/C1QA/UBD/BATF2",12
"GO:0034104","negative regulation of tissue remodeling","4/215","19/13425",0.210526315789474,13.1456548347613,6.758602749553,0.000205263321322171,0.0175439768165361,0.0161096755279165,"IL6/CLDN18/AGER/CST3",4
"GO:0022617","extracellular matrix disassembly","6/215","55/13425",0.109090909090909,6.81183932346723,5.50982789087268,0.000237079240219584,0.0196843506308031,0.0180750638783953,"ADAMTS4/IL6/PBXIP1/CST3/SH3PXD2B/KLK5",6
"GO:0001774","microglial cell activation","5/215","38/13425",0.131578947368421,8.21603427172583,5.68273686313753,0.00032818873602876,0.0264921240805438,0.0243262703459914,"IL13/IL6/GRN/AGER/C1QA",5
"GO:0002526","acute inflammatory response","7/215","83/13425",0.0843373493975904,5.2661810030821,4.97366635486021,0.000362938112040733,0.0285053555024425,0.026174910783023,"IL6/OSM/FFAR3/PTGS2/LIPA/PLA2G2D/NPFF",7
"GO:0002673","regulation of acute inflammatory response","5/215","40/13425",0.125,7.80523255813953,5.49885884979919,0.000419206465734326,0.0304553497355988,0.0279654839641188,"IL6/OSM/FFAR3/PTGS2/PLA2G2D",5
"GO:0010257","NADH dehydrogenase complex assembly","5/215","40/13425",0.125,7.80523255813953,5.49885884979919,0.000419206465734326,0.0304553497355988,0.0279654839641188,"MT-ND1/MT-ND2/MT-ND4/MT-ND5/MT-ND6",5
"GO:0032981","mitochondrial respiratory chain complex I assembly","5/215","40/13425",0.125,7.80523255813953,5.49885884979919,0.000419206465734326,0.0304553497355988,0.0279654839641188,"MT-ND1/MT-ND2/MT-ND4/MT-ND5/MT-ND6",5
"GO:0002675","positive regulation of acute inflammatory response","4/215","23/13425",0.173913043478261,10.8594539939333,6.03727236392136,0.000445968656471999,0.0308567837073245,0.0283340988510406,"IL6/OSM/FFAR3/PTGS2",4
"GO:0090594","inflammatory response to wounding","4/215","23/13425",0.173913043478261,10.8594539939333,6.03727236392136,0.000445968656471999,0.0308567837073245,0.0283340988510406,"IL6/GRN/AGER/TIMP1",4
"GO:0002269","leukocyte activation involved in inflammatory response","5/215","41/13425",0.121951219512195,7.61486103233125,5.41163481464012,0.000471276404977387,0.0317523086769612,0.0291564105104128,"IL13/IL6/GRN/AGER/C1QA",5
"GO:0006091","generation of precursor metabolites and energy","17/215","424/13425",0.0400943396226415,2.50356516015796,4.01352152001485,0.000480764481000101,0.0317523086769612,0.0291564105104128,"PDK4/PER2/GFPT2/MT-ND3/MT-CYB/MT-ND1/MT-CO3/MT-CO2/MT-ATP6/MT-CO1/MT-ND2/MT-ND4/LIPA/SDHA/MT-ND5/MT-ND4L/MT-ND6",17
"GO:0050863","regulation of T cell activation","15/215","352/13425",0.0426136363636364,2.66087473572939,4.02837018471114,0.000553551320792013,0.035747114182702,0.0328246221802983,"ABL2/EGR3/IRF4/IL6/ACTB/DUSP3/ASCL2/HLA-DMA/AGER/ZNF683/PLA2G2D/TMIGD2/HLA-G/CD3E/CD40LG",15
"GO:0097028","dendritic cell differentiation","5/215","43/13425",0.116279069767442,7.26068144943213,5.24570803315055,0.00058985731022383,0.0372635944241402,0.0342171231445631,"IRF4/AGER/HLA-G/UBD/BATF2",5
"GO:0061900","glial cell activation","5/215","44/13425",0.113636363636364,7.09566596194503,5.1666852528679,0.00065691249868091,0.039787034819875,0.0365342606108535,"IL13/IL6/GRN/AGER/C1QA",5
"GO:0002697","regulation of immune effector process","15/215","358/13425",0.0418994413407821,2.61627906976744,3.95438281117595,0.000659005959906397,0.039787034819875,0.0365342606108535,"IL13/IRF4/IL6/FFAR3/CXCL6/GRN/ASCL2/AGER/ZNF683/CALHM6/HLA-G/CD40LG/SLAMF8/AZGP1/KLK5",15
"GO:0010001","glial cell differentiation","11/215","214/13425",0.0514018691588785,3.20962834166486,4.15687595553792,0.000670875673149992,0.039787034819875,0.0365342606108535,"LIF/IL6/KLF15/GRN/AGER/KCNJ10/C1QA/LAMC3/MAL/OLIG1/NKX6-2",11
"GO:0010713","negative regulation of collagen metabolic process","3/215","12/13425",0.25,15.6104651162791,6.45952368970427,0.000800883229390326,0.0452404607559808,0.0415418437412291,"IL6/KLF15/CST3",3
"GO:0098712","L-glutamate import across plasma membrane","3/215","12/13425",0.25,15.6104651162791,6.45952368970427,0.000800883229390326,0.0452404607559808,0.0415418437412291,"PER2/ARL6IP5/KCNJ10",3
"GO:0048708","astrocyte differentiation","6/215","69/13425",0.0869565217391304,5.42972699696663,4.70621858612666,0.00081426553469809,0.0452404607559808,0.0415418437412291,"LIF/IL6/GRN/AGER/C1QA/LAMC3",6
"GO:0042063","gliogenesis","13/215","291/13425",0.0446735395189003,2.78949892112203,3.93720676185838,0.000837143048398637,0.0452404607559808,0.0415418437412291,"LIF/IL6/KLF15/EEF2/GRN/ASCL2/AGER/KCNJ10/C1QA/LAMC3/MAL/OLIG1/NKX6-2",13
"GO:0042832","defense response to protozoan","4/215","27/13425",0.148148148148148,9.25064599483204,5.47467876987425,0.000840669263875762,0.0452404607559808,0.0415418437412291,"IRF4/NKG7/GBP4/BATF2",4
